"","Planning_Area","Post Secondary (Polytechnic/Diploma)","Year","Education","Education_count","Housing","Housing_count","Income","Income_count"
"2523","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: HDB 1-3 Rooms",313,"Income: $1,000 to $2,999",5821
"2524","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: HDB 1-3 Rooms",313,"Income: $3,000 to $4,999",8030
"2525","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: HDB 1-3 Rooms",313,"Income: $5,000 to $9,999",18538
"2526","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: HDB 1-3 Rooms",313,"Income: $10,000 & Over",13040
"2527","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: HDB 4-5 Rooms",44952,"Income: No Working Person",1800
"2528","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: HDB 4-5 Rooms",44952,"Income: Below $1,000",558
"2529","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: HDB 4-5 Rooms",44952,"Income: $1,000 to $2,999",5821
"2530","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: HDB 4-5 Rooms",44952,"Income: $3,000 to $4,999",8030
"2531","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: HDB 4-5 Rooms",44952,"Income: $5,000 to $9,999",18538
"2532","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: HDB 4-5 Rooms",44952,"Income: $10,000 & Over",13040
"2533","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: Condominiums and Other Apartments",2106,"Income: No Working Person",1800
"2534","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: Condominiums and Other Apartments",2106,"Income: Below $1,000",558
"2535","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: Condominiums and Other Apartments",2106,"Income: $1,000 to $2,999",5821
"2536","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: Condominiums and Other Apartments",2106,"Income: $3,000 to $4,999",8030
"2537","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: Condominiums and Other Apartments",2106,"Income: $5,000 to $9,999",18538
"2538","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: Condominiums and Other Apartments",2106,"Income: $10,000 & Over",13040
"2539","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: Landed Properties",416,"Income: No Working Person",1800
"2540","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: Landed Properties",416,"Income: Below $1,000",558
"2541","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: Landed Properties",416,"Income: $1,000 to $2,999",5821
"2542","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: Landed Properties",416,"Income: $3,000 to $4,999",8030
"2543","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: Landed Properties",416,"Income: $5,000 to $9,999",18538
"2544","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: Landed Properties",416,"Income: $10,000 & Over",13040
"2545","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: Others",0,"Income: No Working Person",1800
"2546","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: Others",0,"Income: Below $1,000",558
"2547","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: Others",0,"Income: $1,000 to $2,999",5821
"2548","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: Others",0,"Income: $3,000 to $4,999",8030
"2549","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: Others",0,"Income: $5,000 to $9,999",18538
"2550","Sengkang",33703,"1/1/2010","Education: No Qualification",15108,"Housing: Others",0,"Income: $10,000 & Over",13040
"2551","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: HDB 1-3 Rooms",313,"Income: No Working Person",1800
"2552","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: HDB 1-3 Rooms",313,"Income: Below $1,000",558
"2553","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: HDB 1-3 Rooms",313,"Income: $1,000 to $2,999",5821
"2554","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: HDB 1-3 Rooms",313,"Income: $3,000 to $4,999",8030
"2555","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: HDB 1-3 Rooms",313,"Income: $5,000 to $9,999",18538
"2556","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: HDB 1-3 Rooms",313,"Income: $10,000 & Over",13040
"2557","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: HDB 4-5 Rooms",44952,"Income: No Working Person",1800
"2558","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: HDB 4-5 Rooms",44952,"Income: Below $1,000",558
"2559","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: HDB 4-5 Rooms",44952,"Income: $1,000 to $2,999",5821
"2560","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: HDB 4-5 Rooms",44952,"Income: $3,000 to $4,999",8030
"2561","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: HDB 4-5 Rooms",44952,"Income: $5,000 to $9,999",18538
"2562","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: HDB 4-5 Rooms",44952,"Income: $10,000 & Over",13040
"2563","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: Condominiums and Other Apartments",2106,"Income: No Working Person",1800
"2564","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: Condominiums and Other Apartments",2106,"Income: Below $1,000",558
"2565","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: Condominiums and Other Apartments",2106,"Income: $1,000 to $2,999",5821
"2566","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: Condominiums and Other Apartments",2106,"Income: $3,000 to $4,999",8030
"2567","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: Condominiums and Other Apartments",2106,"Income: $5,000 to $9,999",18538
"2568","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: Condominiums and Other Apartments",2106,"Income: $10,000 & Over",13040
"2569","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: Landed Properties",416,"Income: No Working Person",1800
"2570","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: Landed Properties",416,"Income: Below $1,000",558
"2571","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: Landed Properties",416,"Income: $1,000 to $2,999",5821
"2572","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: Landed Properties",416,"Income: $3,000 to $4,999",8030
"2573","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: Landed Properties",416,"Income: $5,000 to $9,999",18538
"2574","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: Landed Properties",416,"Income: $10,000 & Over",13040
"2575","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: Others",0,"Income: No Working Person",1800
"2576","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: Others",0,"Income: Below $1,000",558
"2577","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: Others",0,"Income: $1,000 to $2,999",5821
"2578","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: Others",0,"Income: $3,000 to $4,999",8030
"2579","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: Others",0,"Income: $5,000 to $9,999",18538
"2580","Sengkang",33703,"1/1/2010","Education: Primary to Secondary",41862,"Housing: Others",0,"Income: $10,000 & Over",13040
"2581","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: HDB 1-3 Rooms",313,"Income: No Working Person",1800
"2582","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: HDB 1-3 Rooms",313,"Income: Below $1,000",558
"2583","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: HDB 1-3 Rooms",313,"Income: $1,000 to $2,999",5821
"2584","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: HDB 1-3 Rooms",313,"Income: $3,000 to $4,999",8030
"2585","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: HDB 1-3 Rooms",313,"Income: $5,000 to $9,999",18538
"2586","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: HDB 1-3 Rooms",313,"Income: $10,000 & Over",13040
"2587","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: HDB 4-5 Rooms",44952,"Income: No Working Person",1800
"2588","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: HDB 4-5 Rooms",44952,"Income: Below $1,000",558
"2589","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: HDB 4-5 Rooms",44952,"Income: $1,000 to $2,999",5821
"2590","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: HDB 4-5 Rooms",44952,"Income: $3,000 to $4,999",8030
"2591","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: HDB 4-5 Rooms",44952,"Income: $5,000 to $9,999",18538
"2592","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: HDB 4-5 Rooms",44952,"Income: $10,000 & Over",13040
"2593","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: Condominiums and Other Apartments",2106,"Income: No Working Person",1800
"2594","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: Condominiums and Other Apartments",2106,"Income: Below $1,000",558
"2595","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: Condominiums and Other Apartments",2106,"Income: $1,000 to $2,999",5821
"2596","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: Condominiums and Other Apartments",2106,"Income: $3,000 to $4,999",8030
"2597","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: Condominiums and Other Apartments",2106,"Income: $5,000 to $9,999",18538
"2598","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: Condominiums and Other Apartments",2106,"Income: $10,000 & Over",13040
"2599","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: Landed Properties",416,"Income: No Working Person",1800
"2600","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: Landed Properties",416,"Income: Below $1,000",558
"2601","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: Landed Properties",416,"Income: $1,000 to $2,999",5821
"2602","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: Landed Properties",416,"Income: $3,000 to $4,999",8030
"2603","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: Landed Properties",416,"Income: $5,000 to $9,999",18538
"2604","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: Landed Properties",416,"Income: $10,000 & Over",13040
"2605","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: Others",0,"Income: No Working Person",1800
"2606","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: Others",0,"Income: Below $1,000",558
"2607","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: Others",0,"Income: $1,000 to $2,999",5821
"2608","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: Others",0,"Income: $3,000 to $4,999",8030
"2609","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: Others",0,"Income: $5,000 to $9,999",18538
"2610","Sengkang",33703,"1/1/2010","Education: University",29235,"Housing: Others",0,"Income: $10,000 & Over",13040
"2611","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: HDB 1-3 Rooms",4838,"Income: No Working Person",3669
"2612","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: HDB 1-3 Rooms",4838,"Income: Below $1,000",863
"2613","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: HDB 1-3 Rooms",4838,"Income: $1,000 to $2,999",4152
"2614","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: HDB 1-3 Rooms",4838,"Income: $3,000 to $4,999",5074
"2615","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: HDB 1-3 Rooms",4838,"Income: $5,000 to $9,999",9745
"2616","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: HDB 1-3 Rooms",4838,"Income: $10,000 & Over",12484
"2617","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: HDB 4-5 Rooms",17476,"Income: No Working Person",3669
"2618","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: HDB 4-5 Rooms",17476,"Income: Below $1,000",863
"2619","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: HDB 4-5 Rooms",17476,"Income: $1,000 to $2,999",4152
"2620","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: HDB 4-5 Rooms",17476,"Income: $3,000 to $4,999",5074
"2621","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: HDB 4-5 Rooms",17476,"Income: $5,000 to $9,999",9745
"2622","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: HDB 4-5 Rooms",17476,"Income: $10,000 & Over",12484
"2623","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: Condominiums and Other Apartments",4290,"Income: No Working Person",3669
"2624","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: Condominiums and Other Apartments",4290,"Income: Below $1,000",863
"2625","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: Condominiums and Other Apartments",4290,"Income: $1,000 to $2,999",4152
"2626","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: Condominiums and Other Apartments",4290,"Income: $3,000 to $4,999",5074
"2627","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: Condominiums and Other Apartments",4290,"Income: $5,000 to $9,999",9745
"2628","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: Condominiums and Other Apartments",4290,"Income: $10,000 & Over",12484
"2629","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: Landed Properties",9111,"Income: No Working Person",3669
"2630","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: Landed Properties",9111,"Income: Below $1,000",863
"2631","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: Landed Properties",9111,"Income: $1,000 to $2,999",4152
"2632","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: Landed Properties",9111,"Income: $3,000 to $4,999",5074
"2633","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: Landed Properties",9111,"Income: $5,000 to $9,999",9745
"2634","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: Landed Properties",9111,"Income: $10,000 & Over",12484
"2635","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: Others",130,"Income: No Working Person",3669
"2636","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: Others",130,"Income: Below $1,000",863
"2637","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: Others",130,"Income: $1,000 to $2,999",4152
"2638","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: Others",130,"Income: $3,000 to $4,999",5074
"2639","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: Others",130,"Income: $5,000 to $9,999",9745
"2640","Serangoon",23641,"1/1/2010","Education: No Qualification",11888,"Housing: Others",130,"Income: $10,000 & Over",12484
"2641","Serangoon",23641,"1/1/2010","Education: Primary to Secondary",31565,"Housing: HDB 1-3 Rooms",4838,"Income: No Working Person",3669
"2642","Serangoon",23641,"1/1/2010","Education: Primary to Secondary",31565,"Housing: HDB 1-3 Rooms",4838,"Income: Below $1,000",863
"2643","Serangoon",23641,"1/1/2010","Education: Primary to Secondary",31565,"Housing: HDB 1-3 Rooms",4838,"Income: $1,000 to $2,999",4152
"2644","Serangoon",23641,"1/1/2010","Education: Primary to Secondary",31565,"Housing: HDB 1-3 Rooms",4838,"Income: $3,000 to $4,999",5074
"2645","Serangoon",23641,"1/1/2010","Education: Primary to Secondary",31565,"Housing: HDB 1-3 Rooms",4838,"Income: $5,000 to $9,999",9745
"2646","Serangoon",23641,"1/1/2010","Education: Primary to Secondary",31565,"Housing: HDB 1-3 Rooms",4838,"Income: $10,000 & Over",12484
